"Date","Offence type","Observations"
2023-06-30,"Abduction, Harassment",3.1
2023-06-30,"Acts Intended To Cause Injury",19.7
2023-06-30,"Dangerous Or Negligent Acts",2.6
2023-06-30,"Fraud, Deception",3.2
2023-06-30,"Homicide",1.9
2023-06-30,"Illicit Drug Offences",6.7
2023-06-30,"Miscellaneous Offences",1.3
2023-06-30,"Offences Against Justice",11.5
2023-06-30,"Prohibited And Regulated Weapons",2.9
2023-06-30,"Property Damage",1.5
2023-06-30,"Public Order",1.2
2023-06-30,"Robbery, Extortion",1.6
2023-06-30,"Sexual Assault",4
2023-06-30,"Theft",8.3
2023-06-30,"Traffic",24.7
2023-06-30,"Unlawful Entry With Intent/Burglary",5.8
2023-06-30,"Unknown",0
2023-06-30,"Breaches",0
2023-06-30,"Dishonesty",0
2023-06-30,"Drugs",0
2023-06-30,"Other",0
2023-06-30,"Violence",0
2023-06-30,"Weapons",0
2023-09-30,"Abduction, Harassment",3.2
2023-09-30,"Acts Intended To Cause Injury",19.8
2023-09-30,"Dangerous Or Negligent Acts",2.6
2023-09-30,"Fraud, Deception",3.2
2023-09-30,"Homicide",1.9
2023-09-30,"Illicit Drug Offences",6.6
2023-09-30,"Miscellaneous Offences",1.3
2023-09-30,"Offences Against Justice",11.1
2023-09-30,"Prohibited And Regulated Weapons",2.9
2023-09-30,"Property Damage",1.6
2023-09-30,"Public Order",1.2
2023-09-30,"Robbery, Extortion",1.7
2023-09-30,"Sexual Assault",4.1
2023-09-30,"Theft",8.6
2023-09-30,"Traffic",24.2
2023-09-30,"Unlawful Entry With Intent/Burglary",6
2023-09-30,"Unknown",0
2023-09-30,"Breaches",0
2023-09-30,"Dishonesty",0
2023-09-30,"Drugs",0
2023-09-30,"Other",0
2023-09-30,"Violence",0
2023-09-30,"Weapons",0
2023-12-31,"Abduction, Harassment",3.1
2023-12-31,"Acts Intended To Cause Injury",20.2
2023-12-31,"Dangerous Or Negligent Acts",2.4
2023-12-31,"Fraud, Deception",3.1
2023-12-31,"Homicide",1.9
2023-12-31,"Illicit Drug Offences",6.3
2023-12-31,"Miscellaneous Offences",1.2
2023-12-31,"Offences Against Justice",11.1
2023-12-31,"Prohibited And Regulated Weapons",3
2023-12-31,"Property Damage",1.6
2023-12-31,"Public Order",1.2
2023-12-31,"Robbery, Extortion",1.6
2023-12-31,"Sexual Assault",4.2
2023-12-31,"Theft",8.9
2023-12-31,"Traffic",23.9
2023-12-31,"Unlawful Entry With Intent/Burglary",6.3
2023-12-31,"Unknown",0
2023-12-31,"Breaches",0
2023-12-31,"Dishonesty",0
2023-12-31,"Drugs",0
2023-12-31,"Other",0
2023-12-31,"Violence",0
2023-12-31,"Weapons",0
2024-03-31,"Abduction, Harassment",3.1
